[ 2026-02-22 11:00:56 ] INFO | root | Entered start_data_ingestion method of TrainPipeline class
[ 2026-02-22 11:00:56 ] INFO | root | Fetching data from MongoDB
[ 2026-02-22 11:00:56 ] INFO | root | Entered initiate_data_ingestion method of DataIngestion class
[ 2026-02-22 11:00:56 ] INFO | root | Exporting data from MongoDB
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}, "previousDescription": "<TopologyDescription id: 699b36496f09ea8ee6b7f221, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 699b36496f09ea8ee6b7f221, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 11:00:57 ] INFO | root | MongoDB connection successful
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.serverSelection | {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 699b36496f09ea8ee6b7f221, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "699b36496f09ea8ee6b7f221"}}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 699b36496f09ea8ee6b7f221, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "699b36496f09ea8ee6b7f221"}, "remainingTimeMS": 30000}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "699b36496f09ea8ee6b7f221"}, "driverConnectionId": 1, "serverConnectionId": 614183, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 47.00000000593718, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"698e366190e92a9f252d1305\"}, \"counter\": 6}, \"hosts\": [\"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\"], \"setName\": \"atlas-fnei8g-shard-0\", \"setVersion\": 150, \"ismaster\": true, \"primary\": \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"tags\": {\"region\": \"US_EAST_1\", \"diskState\": \"READY\", \"nodeType\": \"ELECTABLE\", \"provider\": \"AWS\", \"workloadType\": \"OPERATIONAL\", \"availabilityZone\": \"use1-az1\"}, \"me\": \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"electionId\": {\"$oid\": \"7fffffff00000000000001f9\"}, \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1771779657, \"i\": 5}}, \"t\": 505}, \"lastWriteDate\": {\"$date\": \"2026-02-22T17:00:57Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1771779657, \"i\": 5}}, \"t\": 505}, \"majorityWriteDate\": {\"$date\": \"2026-02-22T17:00:57Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeByt..."}
[ 2026-02-22 11:00:57 ] DEBUG | pymongo.connection | {"message": "Connection pool ready", "clientId": {"$oid": "699b36496f09ea8ee6b7f221"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
