[ 2026-03-14 13:03:47 ] INFO | root | Entered start_data_ingestion method of TrainPipeline class
[ 2026-03-14 13:03:47 ] INFO | root | Fetching data from MongoDB
[ 2026-03-14 13:03:47 ] INFO | root | Entered initiate_data_ingestion method of DataIngestion class
[ 2026-03-14 13:03:47 ] INFO | root | Exporting data from MongoDB
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "previousDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:50 ] INFO | root | MongoDB connection successful
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.serverSelection | {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}}
[ 2026-03-14 13:03:50 ] DEBUG | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "remainingTimeMS": 30000}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverConnectionId": 122291, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 46.999999991385266, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"69b30f773aab0a01c4216913\"}, \"counter\": 4}, \"hosts\": [\"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\"], \"setName\": \"atlas-fnei8g-shard-0\", \"setVersion\": 150, \"secondary\": true, \"primary\": \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\", \"tags\": {\"workloadType\": \"OPERATIONAL\", \"region\": \"US_EAST_1\", \"nodeType\": \"ELECTABLE\", \"diskState\": \"READY\", \"provider\": \"AWS\", \"availabilityZone\": \"use1-az6\"}, \"me\": \"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511431, \"i\": 5}}, \"t\": 508}, \"lastWriteDate\": {\"$date\": \"2026-03-14T18:03:51Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511431, \"i\": 5}}, \"t\": 508}, \"majorityWriteDate\": {\"$date\": \"2026-03-14T18:03:51Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localT..."}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.connection | {"message": "Connection pool ready", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "previousDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.046999999991385266>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverConnectionId": 122291, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": true}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverConnectionId": 133815, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 46.999999991385266, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"69b311d887c1b10e8ffff470\"}, \"counter\": 6}, \"hosts\": [\"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\"], \"setName\": \"atlas-fnei8g-shard-0\", \"setVersion\": 150, \"ismaster\": true, \"primary\": \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\", \"tags\": {\"workloadType\": \"OPERATIONAL\", \"diskState\": \"READY\", \"nodeType\": \"ELECTABLE\", \"provider\": \"AWS\", \"availabilityZone\": \"use1-az2\", \"region\": \"US_EAST_1\"}, \"me\": \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\", \"electionId\": {\"$oid\": \"7fffffff00000000000001fc\"}, \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511431, \"i\": 14}}, \"t\": 508}, \"lastWriteDate\": {\"$date\": \"2026-03-14T18:03:51Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511431, \"i\": 14}}, \"t\": 508}, \"majorityWriteDate\": {\"$date\": \"2026-03-14T18:03:51Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeB..."}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.connection | {"message": "Connection pool ready", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "previousDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.046999999991385266>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.046999999991385266>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.046999999991385266>]>"}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.serverSelection | {"message": "Server selection succeeded", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69b5a303480e2a1ceb85a532, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.046999999991385266>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.046999999991385266>]>", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.connection | {"message": "Connection checkout started", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverConnectionId": 133815, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": true}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.connection | {"message": "Connection created", "clientId": {"$oid": "69b5a303480e2a1ceb85a532"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017, "driverConnectionId": 1}
[ 2026-03-14 13:03:51 ] DEBUG | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "69b5a303480e2a1ceb85a532"}, "driverConnectionId": 1, "serverConnectionId": 116553, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 46.999999991385266, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"69b31486ac3e3d4d7183e33f\"}, \"counter\": 3}, \"hosts\": [\"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\"], \"setName\": \"atlas-fnei8g-shard-0\", \"setVersion\": 150, \"secondary\": true, \"primary\": \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\", \"tags\": {\"region\": \"US_EAST_1\", \"nodeType\": \"ELECTABLE\", \"availabilityZone\": \"use1-az1\", \"diskState\": \"READY\", \"provider\": \"AWS\", \"workloadType\": \"OPERATIONAL\"}, \"me\": \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511431, \"i\": 14}}, \"t\": 508}, \"lastWriteDate\": {\"$date\": \"2026-03-14T18:03:51Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511431, \"i\": 14}}, \"t\": 508}, \"majorityWriteDate\": {\"$date\": \"2026-03-14T18:03:51Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"loca..."}
