[ 2026-02-22 10:55:33 ] INFO | root | Entered start_data_ingestion method of TrainPipeline class
[ 2026-02-22 10:55:33 ] INFO | root | Fetching data from MongoDB
[ 2026-02-22 10:55:33 ] INFO | root | Entered initiate_data_ingestion method of DataIngestion class
[ 2026-02-22 10:55:33 ] INFO | root | Exporting data from MongoDB
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "previousDescription": "<TopologyDescription id: 699b350570e2fb945a21ddb2, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 699b350570e2fb945a21ddb2, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] INFO | root | MongoDB connection successful
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.serverSelection | {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 699b350570e2fb945a21ddb2, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "699b350570e2fb945a21ddb2"}}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 699b350570e2fb945a21ddb2, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "699b350570e2fb945a21ddb2"}, "remainingTimeMS": 30000}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "driverConnectionId": 1, "serverConnectionId": 613941, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 47.00000000593718, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"698e366190e92a9f252d1305\"}, \"counter\": 6}, \"hosts\": [\"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\"], \"setName\": \"atlas-fnei8g-shard-0\", \"setVersion\": 150, \"ismaster\": true, \"primary\": \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"tags\": {\"workloadType\": \"OPERATIONAL\", \"provider\": \"AWS\", \"nodeType\": \"ELECTABLE\", \"diskState\": \"READY\", \"region\": \"US_EAST_1\", \"availabilityZone\": \"use1-az1\"}, \"me\": \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"electionId\": {\"$oid\": \"7fffffff00000000000001f9\"}, \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1771779334, \"i\": 2}}, \"t\": 505}, \"lastWriteDate\": {\"$date\": \"2026-02-22T16:55:34Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1771779334, \"i\": 2}}, \"t\": 505}, \"majorityWriteDate\": {\"$date\": \"2026-02-22T16:55:34Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeByt..."}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.connection | {"message": "Connection pool ready", "clientId": {"$oid": "699b350570e2fb945a21ddb2"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:55:34 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "699b350570e2fb945a21ddb2"}, "previousDescription": "<TopologyDescription id: 699b350570e2fb945a21ddb2, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 699b350570e2fb945a21ddb2, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.04700000000593718>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
