[ 2026-03-14 13:06:58 ] INFO | root | Entered start_data_ingestion method of TrainPipeline class
[ 2026-03-14 13:06:58 ] INFO | root | Fetching data from MongoDB
[ 2026-03-14 13:06:58 ] INFO | root | Entered initiate_data_ingestion method of DataIngestion class
[ 2026-03-14 13:06:58 ] INFO | root | Exporting data from MongoDB
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "previousDescription": "<TopologyDescription id: 69b5a3c27d37bde776c4b217, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 69b5a3c27d37bde776c4b217, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:00 ] INFO | root | MongoDB connection successful
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.serverSelection | {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69b5a3c27d37bde776c4b217, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69b5a3c27d37bde776c4b217"}}
[ 2026-03-14 13:07:00 ] DEBUG | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69b5a3c27d37bde776c4b217, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69b5a3c27d37bde776c4b217"}, "remainingTimeMS": 30000}
[ 2026-03-14 13:07:01 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-03-14 13:07:01 ] DEBUG | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "driverConnectionId": 1, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false}
[ 2026-03-14 13:07:01 ] DEBUG | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "driverConnectionId": 1, "serverConnectionId": 134069, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 46.999999991385266, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"69b311d887c1b10e8ffff470\"}, \"counter\": 6}, \"hosts\": [\"ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net:27017\", \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\"], \"setName\": \"atlas-fnei8g-shard-0\", \"setVersion\": 150, \"ismaster\": true, \"primary\": \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\", \"tags\": {\"nodeType\": \"ELECTABLE\", \"region\": \"US_EAST_1\", \"workloadType\": \"OPERATIONAL\", \"provider\": \"AWS\", \"availabilityZone\": \"use1-az2\", \"diskState\": \"READY\"}, \"me\": \"ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net:27017\", \"electionId\": {\"$oid\": \"7fffffff00000000000001fc\"}, \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511621, \"i\": 7}}, \"t\": 508}, \"lastWriteDate\": {\"$date\": \"2026-03-14T18:07:01Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1773511621, \"i\": 7}}, \"t\": 508}, \"majorityWriteDate\": {\"$date\": \"2026-03-14T18:07:01Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeByt..."}
[ 2026-03-14 13:07:01 ] DEBUG | pymongo.connection | {"message": "Connection pool ready", "clientId": {"$oid": "69b5a3c27d37bde776c4b217"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-03-14 13:07:01 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69b5a3c27d37bde776c4b217"}, "previousDescription": "<TopologyDescription id: 69b5a3c27d37bde776c4b217, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 69b5a3c27d37bde776c4b217, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.046999999991385266>]>"}
