[ 2026-02-22 10:57:36 ] INFO | root | Entered start_data_ingestion method of TrainPipeline class
[ 2026-02-22 10:57:36 ] INFO | root | Fetching data from MongoDB
[ 2026-02-22 10:57:36 ] INFO | root | Entered initiate_data_ingestion method of DataIngestion class
[ 2026-02-22 10:57:36 ] INFO | root | Exporting data from MongoDB
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "699b358042d45b88796d24d1"}}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "699b358042d45b88796d24d1"}, "previousDescription": "<TopologyDescription id: 699b358042d45b88796d24d1, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 699b358042d45b88796d24d1, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b358042d45b88796d24d1"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b358042d45b88796d24d1"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699b358042d45b88796d24d1"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b358042d45b88796d24d1"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b358042d45b88796d24d1"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-22 10:57:37 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699b358042d45b88796d24d1"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
